,Channel,Counts_neutron,Counts_bkg,Energy
0,0,0,0,19.86363862
1,1,0,0,20.49474145
2,2,0,0,21.12584428
3,3,0,0,21.75694711
4,4,0,0,22.38804994
5,5,0,0,23.019152769999998
6,6,0,0,23.6502556
7,7,0,0,24.28135843
8,8,0,0,24.91246126
9,9,0,0,25.54356409
10,10,0,0,26.17466692
11,11,0,0,26.80576975
12,12,1,0,27.43687258
13,13,0,0,28.06797541
14,14,0,0,28.69907824
15,15,0,0,29.330181070000002
16,16,0,0,29.961283899999998
17,17,0,0,30.59238673
18,18,0,0,31.223489559999997
19,19,0,0,31.85459239
20,20,1,0,32.48569522
21,21,0,0,33.11679805
22,22,0,0,33.74790088
23,23,0,0,34.37900371
24,24,1,0,35.010106539999995
25,25,0,0,35.64120937
26,26,0,0,36.2723122
27,27,1,0,36.903415030000005
28,28,0,0,37.53451786
29,29,0,0,38.16562069
30,30,0,0,38.79672352
31,31,0,0,39.427826350000004
32,32,0,0,40.05892918
33,33,1,0,40.690032009999996
34,34,0,0,41.32113484
35,35,0,0,41.95223767
36,36,0,0,42.5833405
37,37,0,0,43.214443329999995
38,38,0,0,43.84554616
39,39,0,0,44.47664899
40,40,0,0,45.107751820000004
41,41,0,0,45.73885465
42,42,1,0,46.36995748
43,43,0,0,47.00106031
44,44,1,1,47.63216314
45,45,0,0,48.26326597
46,46,1,0,48.894368799999995
47,47,0,0,49.52547163
48,48,2,0,50.15657446
49,49,2,0,50.787677290000005
50,50,0,0,51.41878012
51,51,1,0,52.04988295
52,52,0,0,52.68098578
53,53,4,1,53.31208861
54,54,2,0,53.94319144000001
55,55,0,0,54.574294269999996
56,56,0,0,55.2053971
57,57,1,0,55.83649993
58,58,2,0,56.467602760000005
59,59,5,1,57.098705589999994
60,60,6,0,57.72980842
61,61,7,0,58.36091125
62,62,4,0,58.992014080000004
63,63,12,0,59.62311690999999
64,64,13,0,60.254219739999996
65,65,21,1,60.88532257
66,66,24,0,61.5164254
67,67,30,1,62.147528230000006
68,68,52,0,62.778631059999995
69,69,55,0,63.40973389
70,70,86,2,64.04083672
71,71,97,0,64.67193955
72,72,142,1,65.30304238
73,73,165,4,65.93414521
74,74,286,8,66.56524804
75,75,493,9,67.19635087
76,76,730,14,67.8274537
77,77,788,24,68.45855653
78,78,894,27,69.08965936
79,79,996,64,69.72076219
80,80,1158,93,70.35186502
81,81,1196,112,70.98296785
82,82,1333,216,71.61407068
83,83,1497,361,72.24517351
84,84,1892,555,72.87627634
85,85,2507,1008,73.50737917
86,86,2914,1227,74.138482
87,87,2934,1227,74.76958483
88,88,2947,1304,75.40068766
89,89,2968,1303,76.03179049
90,90,3009,1291,76.66289332
91,91,2853,1352,77.29399615
92,92,2993,1286,77.92509898
93,93,2946,1322,78.55620181
94,94,2888,1391,79.18730464
95,95,2824,1392,79.81840747
96,96,2830,1365,80.4495103
97,97,2822,1314,81.08061313
98,98,2811,1392,81.71171596
99,99,2828,1400,82.34281879
100,100,2800,1341,82.97392162
101,101,2791,1385,83.60502445
102,102,2828,1382,84.23612728
103,103,2783,1348,84.86723011000001
104,104,2799,1308,85.49833294
105,105,2673,1342,86.12943577
106,106,2679,1304,86.7605386
107,107,2657,1275,87.39164143
108,108,2741,1362,88.02274426000001
109,109,2647,1299,88.65384709
110,110,2649,1343,89.28494992
111,111,2738,1255,89.91605275
112,112,2707,1281,90.54715558000001
113,113,2755,1228,91.17825841
114,114,2633,1322,91.80936124
115,115,2643,1183,92.44046407
116,116,2674,1215,93.07156690000001
117,117,2746,1238,93.70266973
118,118,2711,1213,94.33377256
119,119,2878,1201,94.96487539
120,120,2968,1274,95.59597822
121,121,2855,1254,96.22708105000001
122,122,3039,1210,96.85818388
123,123,3161,1227,97.48928671
124,124,3204,1245,98.12038954
